method,seed,epoch,interval,global_update_index,interval_steps,feedback_type,update_after_step,applies_from_step,layer,E_G_norm,correction_G_norm,K_G_min_eigenvalue,K_G_max_eigenvalue,E_A_norm,correction_A_norm,K_A_min_eigenvalue,K_A_max_eigenvalue
Wiener-Residual-AOnly,42,1,3,3,47,wiener_filtered_grad,141,142,fc1,1.0825989157010038e-06,0.0,1.0,1.0,1.774488183205914e-05,0.03066288461975292,0.9048374180359597,1.0075159826727795
Wiener-Residual-AOnly,42,1,3,3,47,wiener_filtered_grad,141,142,fc2,1.3301712190576828e-06,0.0,1.0,1.0,2.223157639283189e-05,0.020668635403239224,0.9048374180359597,1.0022587354587902
Wiener-Residual-AOnly,42,1,4,4,47,wiener_filtered_grad,188,189,conv1,1.0065543759837386e-06,0.0,1.0,1.0,6.731070176669065e-07,0.08837674225903956,0.9048374180359599,1.0413712835640905
Wiener-Residual-AOnly,42,1,4,4,47,wiener_filtered_grad,188,189,conv2,8.090862323363109e-07,0.0,1.0,1.0,3.929614405316117e-06,0.05354069246326139,0.9048374180359595,1.0182575658353894
Wiener-Residual-AOnly,42,1,4,4,47,wiener_filtered_grad,188,189,fc1,1.0403155331703842e-06,0.0,1.0,1.0,1.7626530380999123e-05,0.03568954385932161,0.9048374180359599,1.0075160492784725
Wiener-Residual-AOnly,42,1,4,4,47,wiener_filtered_grad,188,189,fc2,4.5280762716219877e-07,0.0,1.0,1.0,7.68755177561773e-06,0.024059738734048965,0.9405799418065077,1.0028809009234625
Wiener-Residual-AOnly,42,2,1,5,47,wiener_filtered_grad,47,48,conv1,9.752941066245005e-07,0.0,1.0,1.0,6.027528139972826e-07,0.0471207942314927,0.90483741803596,1.0526887503311837
Wiener-Residual-AOnly,42,2,1,5,47,wiener_filtered_grad,47,48,conv2,8.585848664407946e-07,0.0,1.0,1.0,3.899504842952223e-06,0.02686506295979637,0.9048374180359594,1.0182521086173038
Wiener-Residual-AOnly,42,2,1,5,47,wiener_filtered_grad,47,48,fc1,1.04432010082702e-06,0.0,1.0,1.0,1.7707533612869693e-05,0.017893576561664914,0.9048374180359595,1.0073345555820539
Wiener-Residual-AOnly,42,2,1,5,47,wiener_filtered_grad,47,48,fc2,3.194192154070273e-07,0.0,1.0,1.0,5.5087787791461715e-06,0.01782245276658314,0.90483741803596,1.007277306066356
Wiener-Residual-AOnly,42,2,2,6,47,wiener_filtered_grad,94,95,conv1,1.2929407468403381e-06,0.0,1.0,1.0,8.615367149446892e-07,0.06850722201664294,0.9048374180359593,1.0465862357874924
Wiener-Residual-AOnly,42,2,2,6,47,wiener_filtered_grad,94,95,conv2,8.374891313034196e-07,0.0,1.0,1.0,3.942259087748856e-06,0.036780933584906104,0.9048374180359595,1.0176631632603543
Wiener-Residual-AOnly,42,2,2,6,47,wiener_filtered_grad,94,95,fc1,1.0853457280713133e-06,0.0,1.0,1.0,1.767072993281993e-05,0.025469748903281728,0.9048374180359595,1.0074926802683162
Wiener-Residual-AOnly,42,2,2,6,47,wiener_filtered_grad,94,95,fc2,1.9768623767076227e-07,0.0,1.0,1.0,4.920274066307069e-06,0.02678952957373502,0.9048374180359595,1.0072521253959796
Wiener-Residual-AOnly,42,2,3,7,47,wiener_filtered_grad,141,142,conv1,1.1554465403392526e-06,0.0,1.0,1.0,6.758991885264721e-07,0.069330547092419,0.9048374180359594,1.0470832988833292
Wiener-Residual-AOnly,42,2,3,7,47,wiener_filtered_grad,141,142,conv2,8.507190575192958e-07,0.0,1.0,1.0,3.967005012399316e-06,0.04436739255491698,0.9048374180359592,1.0164080654000496
Wiener-Residual-AOnly,42,2,3,7,47,wiener_filtered_grad,141,142,fc1,1.0639625141855435e-06,0.0,1.0,1.0,1.7598258092566568e-05,0.03131164661590448,0.9048374180359597,1.0075186380394339
Wiener-Residual-AOnly,42,2,3,7,47,wiener_filtered_grad,141,142,fc2,2.679697404659322e-07,0.0,1.0,1.0,5.391555025183689e-06,0.03368220200143816,0.9048374180359599,1.0080922828877381
Wiener-Residual-AOnly,42,2,4,8,47,wiener_filtered_grad,188,189,conv1,1.0315813988977904e-06,0.0,1.0,1.0,5.613697864261538e-07,0.09011836892025725,0.9164904566041119,1.0520143265262007
Wiener-Residual-AOnly,42,2,4,8,47,wiener_filtered_grad,188,189,conv2,8.654223484270101e-07,0.0,1.0,1.0,4.0162707422160586e-06,0.050965808416801685,0.90483741803596,1.0171610885351574
Wiener-Residual-AOnly,42,2,4,8,47,wiener_filtered_grad,188,189,fc1,1.0586315289987416e-06,0.0,1.0,1.0,1.7632142516319062e-05,0.036254563636941406,0.9048374180359596,1.0075335835833168
Wiener-Residual-AOnly,42,2,4,8,47,wiener_filtered_grad,188,189,fc2,2.998064293416462e-07,0.0,1.0,1.0,5.668072261490383e-06,0.03908525991821341,0.9048374180359597,1.0082729191044844
Wiener-Residual-AOnly,42,3,1,9,47,wiener_filtered_grad,47,48,conv1,1.1240381965533645e-06,0.0,1.0,1.0,7.152592760204784e-07,0.04803214941611624,0.9048374180359595,1.0499114978105955
Wiener-Residual-AOnly,42,3,1,9,47,wiener_filtered_grad,47,48,conv2,8.768167063697145e-07,0.0,1.0,1.0,4.001412146090724e-06,0.02446395006923165,0.9048374180359597,1.0166665610246808
Wiener-Residual-AOnly,42,3,1,9,47,wiener_filtered_grad,47,48,fc1,1.0657713346658228e-06,0.0,1.0,1.0,1.7610864816872265e-05,0.01793010306359136,0.9048374180359597,1.007389124215801
Wiener-Residual-AOnly,42,3,1,9,47,wiener_filtered_grad,47,48,fc2,2.9482878972350156e-07,0.0,1.0,1.0,5.233236416847441e-06,0.01906456277143883,0.9048374180359594,1.0076442210697087
Wiener-Residual-AOnly,42,3,2,10,47,wiener_filtered_grad,94,95,conv1,1.1842366338003098e-06,0.0,1.0,1.0,7.605495561699306e-07,0.06004292173374498,0.9048374180359601,1.0415169096359982
Wiener-Residual-AOnly,42,3,2,10,47,wiener_filtered_grad,94,95,conv2,8.583887373331693e-07,0.0,1.0,1.0,3.901595746700755e-06,0.0358477003802898,0.9048374180359594,1.0178266030075365
Wiener-Residual-AOnly,42,3,2,10,47,wiener_filtered_grad,94,95,fc1,1.049445296446274e-06,0.0,1.0,1.0,1.7521195279992687e-05,0.02543765786292015,0.9048374180359597,1.007441085019625
Wiener-Residual-AOnly,42,3,2,10,47,wiener_filtered_grad,94,95,fc2,2.511104356956594e-07,0.0,1.0,1.0,4.935181693056811e-06,0.02662277203172658,0.90483741803596,1.007313309255524
