beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.5,42,1,0.8983,0.5280904657363892,0.8556899995121181,0.7861127240333559,1.068115234375,0.7867922008547008,0.24669007387790334,663.573486328125,11613.775390625,37465.77734375,0.16437653824687004,10.334597976878285,0.07646655756980181,0.0036756927147507668,1.0501195639371872,10.498974515125155,11.629236329346895,0.04416494861913797,5796.451892373937,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
0.5,42,2,0.9285,0.49854866010919213,0.5598840032123092,0.8385078418579571,1.068115234375,0.2786792200854701,0.7519624987219133,0.0030856835655868053,1209.4251708984375,5755.62548828125,0.16500709485262632,10.323045962490141,0.07706522475928068,0.00367889367043972,1.040151716209948,10.488053057342768,11.608948891982436,0.04411558103628266,5802.938417369001,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.49655845103697105,1.414118004853502,0.6141436462679117,0.8884670881405439,10
0.5,42,3,0.9403,0.45536461704969405,0.5189175411549389,0.8909029596825585,1.068115234375,0.20092147435897437,0.8197238743305206,5.440598033601418e-05,265.64337158203125,4892.369140625,0.16496187448501587,10.315600531175733,0.0770103894174099,0.0036822836846113205,1.0345387775450945,10.480562405660748,11.595793856307864,0.044083762953742445,5807.126770657565,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.6527875962532037,0.9633182728494077,0.41836381021506885,1.3392668201446383,10
0.5,42,4,0.951,0.36554954822529107,0.4528667796880771,0.9432980775071597,1.068115234375,0.17888621794871795,0.8408066087808365,1.9727905964828096e-05,100.74517059326172,4344.42578125,0.16492397151887417,10.33756528235972,0.07674072030931711,0.005120397545397282,1.0442532636225224,10.502489253878593,11.62860363535583,0.04417762941179367,5794.788072799084,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.6427671644519501,0.9761966563383501,0.4239568211001505,1.3263884366556957,10
0.5,42,5,0.9491,0.3841891255537048,0.41652758594634187,0.995693195331761,1.068115234375,0.16716746794871795,0.8519872900767204,1.1940846889046952e-05,59.29531478881836,4515.32470703125,0.1652316553518176,10.311957365833223,0.07679385039955378,0.003687252290546894,1.0401672469452024,10.47718902118504,11.597837370820343,0.04406819387108215,5809.1784008418135,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.6946266710685188,0.8434195949822929,0.36629247602988535,1.459165498011753,10
0.75,42,1,0.8609,0.5722598975658417,1.0288214911507745,0.7861127240333559,1.068115234375,0.9304053151709402,0.08389566624001052,30743.80859375,221085.234375,670301.125,0.16404038202017546,10.280472287908196,0.07649760879576206,0.0036644116044044495,1.0389388278126717,10.444512669928372,11.56361351814121,0.04393364225601793,5826.96964909468,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
0.75,42,2,0.9167,0.6181601133346558,0.655406115274144,0.8385078418579571,1.068115234375,0.42796808226495725,0.6081235667324474,0.1330883502960205,36732.97265625,152174.96875,0.1652697017416358,10.268688687123358,0.07683617621660233,0.003661596216261387,1.0259936871007085,10.433958388864994,11.540449848398566,0.04388328498770666,5833.656255946088,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.3751096801559209,1.7626304988161379,0.7655006992702249,0.539954594177908,10
0.75,42,3,0.92,0.7012865033626556,0.7376419938782341,0.8909029596825585,1.068115234375,0.2808159722222222,0.7435477969483433,0.0004621746193151921,16443.75,93246.9921875,0.16435703355818987,10.363888558000326,0.07649957854300737,0.003693549893796444,1.0402390733361244,10.528245591558516,11.648677793331444,0.044290122042736434,5780.069870951821,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.628143749744704,1.0337841895721693,0.4489667690100183,1.2688009034218766,10
0.75,42,4,0.9348,0.579332163917995,0.7050508216150806,0.9432980775071597,1.068115234375,0.2552083333333333,0.7663806949415778,9.90788103081286e-05,8280.271484375,83564.5703125,0.16461225878447294,10.285298980772495,0.07678088825196028,0.003807356581091881,1.0411833729594946,10.449911239556968,11.571682857349515,0.04395426914860041,5824.235164382242,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.6174768603857748,1.0418306270401256,0.4524612924013313,1.2607544659539203,10
0.75,42,5,0.9245,0.6694211624747841,0.6740138431390127,0.995693195331761,1.068115234375,0.2442240918803419,0.7771355889291844,8.281802729470655e-05,5417.72314453125,82471.2734375,0.16641025338321924,10.297821688465774,0.07671419158577919,0.003695281222462654,1.0640120301395655,10.464231941848993,11.6086534447968,0.04400778499344348,5817.152579666082,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.656634413965761,0.9435303318110652,0.4097700166138898,1.3590547611829806,10
1.0,42,1,0.8264,0.5878786500930786,1.1891403878346467,0.7861127240333559,1.068115234375,0.9911024305555556,0.013432685729437961,989405.5,3936146.5,10864660.0,0.16397516056895256,10.95463305618614,0.07651032134890556,0.0036616800352931023,1.0776130007579923,11.118608216755092,12.276393218897283,0.046814671180282645,5468.371208122931,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.10722001862966095,2.301875525039212,0.9996918385526803,0.0007095679548339007,10
1.0,42,2,0.8942,0.6836890294790268,0.6720591277902962,0.8385078418579571,1.068115234375,0.6792200854700855,0.3497930455666322,239.230224609375,1433226.625,4791938.0,0.1649128394201398,10.997214147821069,0.07686133403331041,0.0036928774788975716,1.046464839950204,11.162126987241209,12.28914603870362,0.046996641657354996,5447.197735243618,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.22629056174266976,2.1288065153023,0.9245289226354791,0.17377857769174598,10
1.0,42,3,0.8985,0.8362385352134705,0.8503878897326624,0.8909029596825585,1.068115234375,0.4524739583333333,0.5788509430538895,0.23810185492038727,800282.5625,2599744.25,0.187478581443429,11.086398641578853,0.08745989669114351,0.003700070083141327,1.049843080341816,11.273877223022282,12.414880270138383,0.0473777719725592,5403.377772772283,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.5259977410516743,1.3294408139338092,0.5773688095084211,0.9731442790602367,10
1.0,42,4,0.9163,0.7471194141480141,0.8976873842060057,0.9432980775071597,1.068115234375,0.38618456196581197,0.641585054815325,0.01813008449971676,693853.3125,2205342.75,0.16514896415174007,10.25820038933307,0.07671364303678274,0.0036566006019711494,1.0402571260929108,10.42334935348481,11.543976723216474,0.04383846320227808,5839.62076450474,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.5371677971322215,1.260238794718683,0.5473147544267289,1.0423462982753628,10
1.0,42,5,0.9128,0.813739277125895,0.897019518364189,0.995693195331761,1.068115234375,0.35206330128205127,0.674506602378992,0.004394730553030968,499902.84375,1711478.75,0.16446259059011936,10.270281272009015,0.07687801402062178,0.0036584939807653427,1.0279376031830907,10.434743862599134,11.543217973783612,0.04389009090602143,5832.751646565363,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.5810751722255043,1.1380688465844748,0.49425702009763584,1.164516246409571,10
0.0,7,1,0.8949,0.4831918801307678,0.7375367187027239,0.7861127240333559,1.068115234375,0.5755542200854701,0.5041964239735379,3.2369041442871094,78.71398162841797,192.857177734375,0.03946927096694708,10.27300196327269,0.07705043908208609,0.003646181896328926,1.0273810178041458,10.312471234239638,11.420548873022199,0.043901717791763634,5831.206906624231,111059456,138213888,138213888,234,59904,234,2560,10,10,2560,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,10
0.0,7,2,0.9064,0.5151042253494262,0.5355645552532285,0.8385078418579571,1.068115234375,0.29629073183760685,0.7470131292302384,0.023433789610862732,120.74213409423828,276.86798095703125,0.039494569413363934,10.306263132952154,0.07710290793329477,0.0036560939624905586,1.0353939766064286,10.345757702365518,11.461910680867732,0.044043859542530574,5812.387984590583,111866880,138213888,138213888,234,59904,468,2560,10,10,2560,0.639706490582806,0.9982063621469376,0.433515514881134,1.3043787308471084,10
0.0,7,3,0.9186,0.4806130494117737,0.5128631794936637,0.8909029596825585,1.068115234375,0.24021768162393162,0.7944286409606282,0.0053909351117908955,98.66117858886719,326.9797058105469,0.03972836583852768,10.295554546639323,0.07681739702820778,0.0036814017221331596,1.0371168395504355,10.335282912477851,11.452898550778627,0.0439980963531595,5818.433550969226,111866880,138213888,138213888,234,59904,702,2560,10,10,2560,0.7172898021126011,0.7707290266913024,0.3347233633346967,1.5318560663027436,10
0.0,7,4,0.9275,0.4347964474096894,0.48924279098327345,0.9432980775071597,1.068115234375,0.21005275106837606,0.8183580586034008,0.0015766851138323545,76.50608825683594,375.7391357421875,0.03955703042447567,10.27679394185543,0.07701094821095467,0.0036906907334923744,1.0412857700139284,10.316350972279906,11.438338381238282,0.043917922828442015,5829.0552811438965,111866880,138213888,138213888,234,59904,936,2560,10,10,2560,0.7510635018718721,0.6694194845688873,0.2907251882267868,1.6331656084251587,10
0.0,7,5,0.9309,0.42876318703591826,0.47628466816794157,0.995693195331761,1.068115234375,0.18906917735042736,0.8354783478455666,0.000509341130964458,56.19813919067383,411.14599609375,0.039700159803032875,10.295072576962411,0.07691130228340626,0.0036909356713294983,1.0290823513641953,10.334772736765444,11.444457326084375,0.04399603665368552,5818.705944244527,111866880,138213888,138213888,234,59904,1170,2560,10,10,2560,0.7980469936700941,0.5447403818034982,0.2365777418871298,1.7578447111905477,10
