beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.75,42,1,fc2,3,129,123,10000000.0,3.6646696136494707,1e-07,0,10,10,138639.2196689635,3.5379294043067433,1e-07,1386392196689.6348
0.75,42,2,conv1,0,10,10,5.044992524595657,0.536136886233892,1e-07,0,16,16,13.205413757618883,0.6996470480465283,1e-07,66.62121369137992
0.75,42,2,conv2,0,145,145,45.27990257680683,0.6279726563064136,9.999999999999998e-08,0,32,32,46.42385013564555,0.6552360104160112,1e-07,2102.067411382311
0.75,42,2,fc1,0,1569,1569,12101.764368281689,0.9091879074228659,1e-07,2,128,126,10000000.0,2.508112737489505,1e-07,121017643682.8169
0.75,42,2,fc2,2,129,127,10000000.000000002,2.0523004262073936,9.999999999999998e-08,1,10,9,10000000.0,4.814943182644532,1.0000000000000001e-07,100000000000000.02
0.75,42,3,conv1,0,10,10,5.029160967633985,0.5349804166326756,1e-07,0,16,16,4.730711693105691,0.4405533854583432,1.0000000000000001e-07,23.791510596096824
0.75,42,3,conv2,0,145,145,49.135409989546964,0.6650960495373146,1e-07,0,32,32,4.368109118294411,0.315455943416642,1e-07,214.6288324064744
0.75,42,3,fc1,0,1569,1569,339.4451697791093,0.7179612631609299,1e-07,3,128,125,10000000.0,2.9404544510167057,1e-07,3394451697.791093
0.75,42,3,fc2,1,129,127,10000000.000000002,2.021845928224567,1e-07,1,10,9,10000000.0,4.789574705604659,1e-07,100000000000000.02
0.75,42,4,conv1,0,10,10,5.037363087025895,0.5356015691652868,1e-07,0,16,16,3.2441048827731707,0.343865791548681,9.999999999999998e-08,16.34173418692204
0.75,42,4,conv2,0,145,145,50.977643875077995,0.6819284221213614,1e-07,0,32,32,3.6564567956012266,0.2365871960138809,1e-07,186.39755237076818
0.75,42,4,fc1,0,1569,1569,397.9023474688677,0.7664172480886323,1e-07,0,128,127,10000000.0,1.9080248229261434,1e-07,3979023474.688677
0.75,42,4,fc2,1,129,128,10000000.0,1.5775297333080593,1e-07,0,10,10,279827.5058036467,3.702403905711755,1e-07,2798275058036.467
0.75,42,5,conv1,0,10,10,5.044349324157619,0.5358578334196268,1e-07,0,16,16,2.429978604093878,0.24218650347238105,1e-07,12.257660929278428
