method,seed,epoch,privacy_valid,base_reset_error,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,base_W_kron,base_W_G,base_W_A,base_log_kappa_kron,corrected_W_kron,corrected_W_G,corrected_W_A,corrected_log_kappa_kron,gain_A,gain_G,gain_kron
Residual-Clean,42,5,False,0.0,0.5796363223184887,0.557226795719564,0.949,0.995693195331761,0.15504807692307693,0.8569832630137093,fc2,7.029264567970386,0.5427371378106501,6.1595613491786665,inf,5.820666015498164,0.4661558014649369,5.2586760866412705,50.617674851316735,0.14625802252258152,0.1411020750388209,0.1719381225141722
Residual-Noisy,7,1,True,0.0,0.7885769170700995,0.5605530869467183,0.926,0.7861127240333559,0.5808961004273504,0.4489216222387985,conv1,1.2093581526896724,0.8211606394696671,0.6861398140202493,5.83116640150233,1.1918536972855411,0.7594905876243344,0.7314748298884319,5.994469545536714,-0.06607256267866822,0.0751010811784175,0.01447416992658501
Residual-Noisy,7,1,True,0.0,0.7885769170700995,0.5605530869467183,0.926,0.7861127240333559,0.5808961004273504,0.4489216222387985,conv2,4.63202710959681,0.48153428809044474,4.150765539038754,13.414034632868425,4.449232880094728,0.483840464635686,3.9813138549672713,13.338642156516691,0.04082420037406514,-0.004789226026637741,0.03946311737324716
Residual-Noisy,7,1,True,0.0,0.7885769170700995,0.5605530869467183,0.926,0.7861127240333559,0.5808961004273504,0.4489216222387985,fc1,102.4131493874904,3.7808315507561936,26.169129145002927,inf,92.29414146429026,3.7238561889625186,23.917024099658406,inf,0.08605960988864497,0.015069531934655891,0.09880574890743633
Residual-Noisy,7,1,True,0.0,0.7885769170700995,0.5605530869467183,0.926,0.7861127240333559,0.5808961004273504,0.4489216222387985,fc2,10.094136528333832,0.5553364877584307,8.81131836870307,inf,8.964148471908173,0.5673460988472043,7.781103466842712,inf,0.11691949589741067,-0.02162582750009714,0.11194499432951288
Residual-Noisy,7,2,True,0.0,0.5426960715817081,0.5265443193856306,0.9443,0.8385078418579571,0.23359041132478633,0.7882603638701968,conv1,0.9527469329173569,0.5479989350073579,0.683476644143516,4.8602803617052714,0.9895248934632819,0.5785638766372527,0.6948449778435536,5.098714082501315,-0.016633097557098703,-0.05577554932562868,-0.038602024604066774
Residual-Noisy,7,2,True,0.0,0.5426960715817081,0.5265443193856306,0.9443,0.8385078418579571,0.23359041132478633,0.7882603638701968,conv2,4.13109433585908,0.38292179960485645,3.841314450881479,11.92124611066906,4.163745632751442,0.42300211241257535,3.8149358513459934,11.984318446579856,0.006867076328373041,-0.10466970762458147,-0.007903788739206268
Residual-Noisy,7,2,True,0.0,0.5426960715817081,0.5265443193856306,0.9443,0.8385078418579571,0.23359041132478633,0.7882603638701968,fc1,80.87081679694425,3.6416534941732643,21.39273569883346,inf,76.80430554919613,3.629073382970709,20.380396337912163,inf,0.047321641101586556,0.003454505274234331,0.05028403828242006
Residual-Noisy,7,2,True,0.0,0.5426960715817081,0.5265443193856306,0.9443,0.8385078418579571,0.23359041132478633,0.7882603638701968,fc2,8.247253588286322,0.5394333537566448,7.242978647296528,inf,8.207592937642925,0.5741836380264836,7.1002849741421015,inf,0.019700965597584334,-0.06441997705154097,0.004808952485676813
Residual-Noisy,7,3,True,0.0,0.5523468202505356,0.5275106262415531,0.9507,0.8909029596825585,0.1762820512820513,0.8383235274217068,conv1,0.8717789517753496,0.45064911623336934,0.6803712380929787,3.5845447473040406,0.8890527831181879,0.4712391714779652,0.6819616656499403,3.6541847124672113,-0.0023375878754360972,-0.04568977171572494,-0.01981446249380159
Residual-Noisy,7,3,True,0.0,0.5523468202505356,0.5275106262415531,0.9507,0.8909029596825585,0.1762820512820513,0.8383235274217068,conv2,4.320369701205487,0.39468383020912273,4.001882904706369,12.493721502039012,4.351423149651472,0.4386729577213083,3.9645692258543206,12.61611017558468,0.009324030647714789,-0.11145409095902917,-0.007187683136774285
