task,method,source,beta,epoch,level,layer,group,noise_rms,noise_energy_share,snr,n
mnist,dp_kfm,pink,1.0,3,layer,conv2,conv2,0.5695180859153077,0.0067600448397353,0.1246412790694738,1
mnist,dp_kfm,pink,1.0,3,layer,fc1,fc1,0.990905769020194,0.9471045471121882,0.0065146259969361,1
mnist,dp_kfm,pink,1.0,3,layer,fc2,fc2,2.6595727037826364,0.0456786505296407,0.0062659760720292,1
mnist,dp_kfm,pink,1.0,4,group,conv1,conv1,0.8052453457818363,0.0004381358738904,0.2484554467454011,1
mnist,dp_kfm,pink,1.0,4,group,conv2,conv2,0.5770784000519754,0.0068709724406277,0.1800101460305389,1
mnist,dp_kfm,pink,1.0,4,group,fc1,fc1,0.9942609029005162,0.9386941561250728,0.0124866199493353,1
mnist,dp_kfm,pink,1.0,4,group,fc2,fc2,2.9612747223408644,0.0539967355604128,0.031383103123215,1
mnist,dp_kfm,pink,1.0,4,layer,conv1,conv1,0.8052453457818363,0.0004381358738904,0.2484554467454012,1
mnist,dp_kfm,pink,1.0,4,layer,conv2,conv2,0.5770784000519754,0.0068709724406277,0.1800101460305389,1
mnist,dp_kfm,pink,1.0,4,layer,fc1,fc1,0.9942609029005162,0.9386941561250728,0.0124866199493353,1
mnist,dp_kfm,pink,1.0,4,layer,fc2,fc2,2.9612747223408644,0.0539967355604128,0.031383103123215,1
mnist,dp_kfm,pink,1.0,5,group,conv1,conv1,0.5807129884787696,0.0002270869873801,0.3310151751200093,1
mnist,dp_kfm,pink,1.0,5,group,conv2,conv2,0.4118920833050964,0.0033621417966616,0.2568203490825174,1
mnist,dp_kfm,pink,1.0,5,group,fc1,fc1,0.9411978766936998,0.7718372646507803,0.0181182696254613,1
mnist,dp_kfm,pink,1.0,5,group,fc2,fc2,6.262063256464845,0.2245735065651736,0.0165742989509867,1
mnist,dp_kfm,pink,1.0,5,layer,conv1,conv1,0.5807129884787696,0.0002270869873801,0.3310151751200093,1
mnist,dp_kfm,pink,1.0,5,layer,conv2,conv2,0.4118920833050964,0.0033621417966616,0.2568203490825174,1
