level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only,run_name,normalization
layer,blocks.11.attn.k_proj,attention_qkv,0.7197957345899889,0.0067053347727413,19221.296310424805,0.945901523826525,0.0068226734950869,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.11.attn.v_proj,attention_qkv,0.7204255760243206,0.0067053347727413,19221.296310424805,2.44463487918402,0.0176328562490325,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.11.attn.out_proj,attention_out,0.7198988358800968,0.0067053347727413,19221.296310424805,2.0733217224614435,0.0149546192772811,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.11.mlp.fc1,mlp_fc1,0.7200928603213587,0.0268213390909653,76885.18524169922,2.5506511029029766,0.0091987692358248,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.11.mlp.fc2,mlp_fc2,0.72020756248408,0.0267171110893166,76586.4086151123,2.54671776633908,0.0092024817694539,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,head,patch_head,0.718886130285364,0.0003492361860802,1001.1091828346252,10.83125667061512,0.3423246123339191,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,cls_token,identity,0.7141159629350641,3.474266721627629e-05,99.59220886230467,0.1705727917211039,0.0170921649406447,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,pos_embed,identity,0.7202692493818748,0.0068443054416064,19619.665145874023,0.5799473869355658,0.0041404047727285,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.norm1.weight,identity,0.7198966559318914,3.474266721627629e-05,99.59220886230467,0.7466438507970293,0.0748170896481964,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.norm1.bias,identity,0.7214011287070016,3.474266721627629e-05,99.59220886230467,0.4694279178772611,0.0470387997941694,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.norm2.weight,identity,0.7198330597675036,3.474266721627629e-05,99.59220886230467,0.2774607282985532,0.0278028194577736,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.0.norm2.bias,identity,0.719295220760294,3.474266721627629e-05,99.59220886230467,0.2210980703709645,0.0221550263011333,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.norm1.weight,identity,0.7201664361592618,3.474266721627629e-05,99.59220886230467,0.4314548206041883,0.0432337237597704,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.norm1.bias,identity,0.721503788450501,3.474266721627629e-05,99.59220886230467,0.4742035788295194,0.0475173426137656,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.norm2.weight,identity,0.7218347042004147,3.474266721627629e-05,99.59220886230467,0.5500435214227947,0.0551168477564893,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.1.norm2.bias,identity,0.7180172354511912,3.474266721627629e-05,99.59220886230467,0.4059025149219796,0.0406732672008593,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.norm1.weight,identity,0.7203505521739182,3.474266721627629e-05,99.59220886230467,0.4009453387381352,0.040176535734374,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.norm1.bias,identity,0.7163903795672324,3.474266721627629e-05,99.59220886230467,0.4766323049937317,0.047760711956411,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.norm2.weight,identity,0.7214467553030348,3.474266721627629e-05,99.59220886230467,0.3164645840510728,0.031711182152178,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.2.norm2.bias,identity,0.7182306329092334,3.474266721627629e-05,99.59220886230467,0.4492669901602169,0.0450185836833868,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.3.norm1.weight,identity,0.715897813432502,3.474266721627629e-05,99.59220886230467,0.3164704152220157,0.031711766461871,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.3.norm1.bias,identity,0.7185715588629581,3.474266721627629e-05,99.59220886230467,0.4593389207307518,0.0460278366647402,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.3.norm2.weight,identity,0.7168448718661599,3.474266721627629e-05,99.59220886230467,0.2847591132235532,0.0285341506254218,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.3.norm2.bias,identity,0.7250678974291619,3.474266721627629e-05,99.59220886230467,0.35664237258281,0.0357371782187584,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.norm1.weight,identity,0.7180958293248871,3.474266721627629e-05,99.59220886230467,0.2475881776819906,0.0248094548233313,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.norm1.bias,identity,0.7217479770181263,3.474266721627629e-05,99.59220886230467,0.4588187350198362,0.0459757117045926,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.norm2.weight,identity,0.7172649338843595,3.474266721627629e-05,99.59220886230467,0.2356837016946437,0.0236165725057319,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.4.norm2.bias,identity,0.7225413241951496,3.474266721627629e-05,99.59220886230467,0.3274118748058994,0.0328081501817606,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.norm1.weight,identity,0.7156588038331706,3.474266721627629e-05,99.59220886230467,0.2458590631022147,0.0246361897245978,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.norm1.bias,identity,0.7180342609535993,3.474266721627629e-05,99.59220886230467,0.3687814204356007,0.0369535656978443,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.norm2.weight,identity,0.7226680856316783,3.474266721627629e-05,99.59220886230467,0.2320294850701778,0.023250403478163,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.5.norm2.bias,identity,0.7219805237184768,3.474266721627629e-05,99.59220886230467,0.3020013163289015,0.0302618973336927,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.norm1.weight,identity,0.7238994584660878,3.474266721627629e-05,99.59220886230467,0.2311796646398615,0.0231652476287551,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.norm1.bias,identity,0.7182448204604617,3.474266721627629e-05,99.59220886230467,0.3820352044622336,0.0382816547816021,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.norm2.weight,identity,0.7218172330493724,3.474266721627629e-05,99.59220886230467,0.2069065482236864,0.0207329716178946,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.6.norm2.bias,identity,0.7207453810932937,3.474266721627629e-05,99.59220886230467,0.2798369290998228,0.0280409255215695,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.norm1.weight,identity,0.7214836546319633,3.474266721627629e-05,99.59220886230467,0.2459785817328187,0.0246481660317636,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.norm1.bias,identity,0.7190386683256822,3.474266721627629e-05,99.59220886230467,0.3416387955424848,0.0342337519636954,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.norm2.weight,identity,0.7169024323897683,3.474266721627629e-05,99.59220886230467,0.155193914163718,0.0155511318769272,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.7.norm2.bias,identity,0.7183353431527848,3.474266721627629e-05,99.59220886230467,0.2281110914098998,0.0228577627171831,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.norm1.weight,identity,0.7194275706080325,3.474266721627629e-05,99.59220886230467,0.2965138283925996,0.0297120262319144,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.norm1.bias,identity,0.7214316652373783,3.474266721627629e-05,99.59220886230467,0.368045423618034,0.0368798154890642,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.norm2.weight,identity,0.7213060314688632,3.474266721627629e-05,99.59220886230467,0.1427679811161437,0.0143059972042309,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.8.norm2.bias,identity,0.7169370991880998,3.474266721627629e-05,99.59220886230467,0.2264051382785339,0.0226868185003,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.norm1.weight,identity,0.7232845781269153,3.474266721627629e-05,99.59220886230467,0.3268542172274741,0.032752270371067,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.norm1.bias,identity,0.7192420332762735,3.474266721627629e-05,99.59220886230467,0.3981017453516736,0.0398915948203213,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
