task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max,run_name,normalization,tau
vit,dp_kfm,pink,0.25,42,3,blocks.0.mlp.fc1,True,0.3678221112598061,1.8672280105327788,0.3537831409691413,1.0516129078610568,mlp_fc1,208421.37640617695,,,,5526346,,154292600,16.570419077214304,0.736059730311159,125473.8358898682,41367.80624768692,0.0010000000019435,41.36780632808554,1.8225165382177224,0.0010000281927443,0.0018225679199605,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.0.mlp.fc2,True,0.1210092114323463,7.400709050926018,0.3133838994996159,1.0249771720848302,mlp_fc2,143617.53535710665,,,,5526346,,154292600,27.134379242458856,0.5063070339244072,130181.79314438556,116424.87192629276,0.0010587000517096,123.25901792864988,4.656223233739997,0.001,0.0046562232337399,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.1.attn.q_proj,True,0.360753329807841,2.125845638211312,0.4680166154476903,2.221560199061671,attention_qkv,36006.92389908989,,,,5526346,,154292600,14.173488105948811,0.4848511242069205,32881.598069767046,34732.99129912756,0.0010000000077626,34.73299156874755,1.1618893925688667,0.00100000003729,0.0011618894358958,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.1.attn.k_proj,True,0.360753329807841,2.125845638211312,0.5061540849430267,1.410369510927781,attention_qkv,36012.47441607121,,,,5526346,,154292600,14.485587926442273,0.4848606830220948,32881.43722002358,34732.99129912756,0.0010000000077626,34.73299156874755,1.2676586344003444,0.0010000000571381,0.0012676587068319,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.1.attn.v_proj,True,0.360753329807841,2.125845638211312,0.6312991471271059,0.8424431053210554,attention_qkv,36051.50474768957,,,,5526346,,154292600,14.060446736999038,0.4848509743501715,32881.602183613344,34732.99129912756,0.0010000000077626,34.73299156874755,1.1252636523149384,0.0010000701674926,0.001125342609244,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.1.attn.out_proj,True,0.1214769373654322,4.129959440486412,0.306848518283447,1.069069769621634,attention_out,22823.35156344681,,,,5526346,,154292600,20.67170545659611,0.3703674431293894,33546.72628570009,35759.08621344382,0.0011809279745454,42.22890525363733,5.106446906056976,0.001,0.0051064469060569,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.1.mlp.fc1,True,0.2069997426255398,2.5421111439004584,0.2822547269255895,1.6898533751942435,mlp_fc1,168861.40496827578,,,,5526346,,154292600,19.279502813358015,0.4144714767570033,136157.08090667735,58745.11445598526,0.001,58.74511445598527,2.3518605405425044,0.0010000097073096,0.0023518833707809,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.1.mlp.fc2,True,0.0523060476991306,3.639252050578894,0.3585391494895689,1.9147960332638383,mlp_fc2,84478.24005618211,,,,5526346,,154292600,21.54861634911124,0.4331109389386291,131373.7408647702,30696.898801468174,0.0010009476275699,30.72598802908398,7.023976562607857,0.001,0.0070239765626078,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.2.attn.q_proj,True,0.4143535384275153,1.5519874122487698,0.4941685429942296,2.536722609490516,attention_qkv,39093.90255877909,,,,5526346,,154292600,13.434164486767145,0.4174403430052402,33705.900633389494,27154.82860233315,0.001,27.15482860233315,1.199487095151243,0.0010000019413501,0.0011994894237756,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.2.attn.k_proj,True,0.4143535384275153,1.5519874122487698,0.365379633335201,1.4600615484697483,attention_qkv,39114.53427711108,,,,5526346,,154292600,13.631069725911152,0.4174588252442242,33705.63134749564,27154.82860233315,0.001,27.15482860233315,1.2713721428408244,0.001000003657516,0.0012713767929048,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
