,,,,cosA,cosA,relative_frobenius_A,relative_frobenius_A,cosG,cosG,relative_frobenius_G,relative_frobenius_G,fisher_cosine_proxy,fisher_cosine_proxy
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
method,source,epoch,layer,,,,,,,,,,
a_public_cifar10,cifar10,3,fc1,0.4746691017617242,0.025290936454272932,0.8810209158181804,0.013589439347223172,,,,,,
a_public_cifar10,cifar10,3,fc2,0.7467383481401221,0.025173949822405062,0.8695240078945113,0.010401641078925526,,,,,,
a_public_cifar10,cifar10,4,conv1,0.9282605435874579,0.00026248011243148214,1.5837247250958937,0.019477962341127628,,,,,,
a_public_cifar10,cifar10,4,conv2,0.8677649108079936,0.04209231305983175,0.9458738944580132,0.17167395671240732,,,,,,
a_public_cifar10,cifar10,4,fc1,0.48143633976153494,0.023963936959720433,0.879910236208339,0.0099833736904293,,,,,,
a_public_cifar10,cifar10,4,fc2,0.7200653281931966,0.014180778804093517,0.8493978259521714,0.01329076639964313,,,,,,
a_public_cifar10,cifar10,5,conv1,0.9283502682158328,0.0006825833264694239,1.5892785218901404,0.040061081626888595,,,,,,
a_public_cifar10,cifar10,5,conv2,0.8676280904680526,0.040234186701321804,0.9131611967723642,0.14637499262294307,,,,,,
a_public_cifar10,cifar10,5,fc1,0.48420373256327,0.024319909181820733,0.8829303973466534,0.005306173230745301,,,,,,
a_public_cifar10,cifar10,5,fc2,0.7164621740683498,0.018656641534433124,0.8324968761163438,0.0356104867178588,,,,,,
a_public_fashion,fashion,1,conv1,0.9662005399044572,0.0002883545713188757,0.9682014657384461,0.010045794853443823,,,,,,
a_public_fashion,fashion,1,conv2,0.9301887943900503,0.03285622291013542,0.7715677286027617,0.06463402757933331,,,,,,
a_public_fashion,fashion,1,fc1,0.8296788769443341,0.015641385373498424,0.5815778038721051,0.03643755868207501,,,,,,
a_public_fashion,fashion,1,fc2,0.9127145914573646,0.025831712226584043,0.4305236707321296,0.05284247643239685,,,,,,
a_public_fashion,fashion,2,conv1,0.9661654585744324,4.802344754671542e-05,0.978404448026818,0.019505374836041003,,,,,,
a_public_fashion,fashion,2,conv2,0.9521544424010785,0.02106040676208188,0.7747457444209443,0.09648623251478626,,,,,,
a_public_fashion,fashion,2,fc1,0.7757448190733905,0.010771655643109513,0.6454545175073235,0.011684614374790172,,,,,,
a_public_fashion,fashion,2,fc2,0.9053900160610592,0.018277077624079582,0.5569747727078832,0.0736786610136302,,,,,,
a_public_fashion,fashion,3,conv1,0.9662577698058579,0.000229240212293306,0.968725999129712,0.004953390936580363,,,,,,
a_public_fashion,fashion,3,conv2,0.9526887595676888,0.01654181378809146,0.7580233084449075,0.0641287537196755,,,,,,
a_public_fashion,fashion,3,fc1,0.7705212461271745,0.011189741498222295,0.6500277112113845,0.011703626366498118,,,,,,
a_public_fashion,fashion,3,fc2,0.896786036697225,0.012233928638776816,0.5611526247599913,0.07157225795275565,,,,,,
a_public_fashion,fashion,4,conv1,0.9661092360824363,0.00018621954961208894,0.9738669245110042,0.017300266991024316,,,,,,
a_public_fashion,fashion,4,conv2,0.9555971041607276,0.01597880948699268,0.7502405492027436,0.08760472612946342,,,,,,
a_public_fashion,fashion,4,fc1,0.7713957286364458,0.01104155866081255,0.6516008143095487,0.00829109153231375,,,,,,
a_public_fashion,fashion,4,fc2,0.8816963721604275,0.023961049976507897,0.55447836589886,0.04598387697049042,,,,,,
a_public_fashion,fashion,5,conv1,0.9663645342968904,3.011654158243682e-05,0.9613385216706304,0.009577855043869087,,,,,,
a_public_fashion,fashion,5,conv2,0.9543861445747025,0.014686950625388303,0.7231298578671593,0.0865012375269209,,,,,,
a_public_fashion,fashion,5,fc1,0.7680465523419655,0.02146215807283791,0.6538168722815039,0.01000456820845696,,,,,,
a_public_fashion,fashion,5,fc2,0.8806657494314356,0.02217153073331567,0.5445924956302511,0.07474799222660156,,,,,,
full_pink,pink,1,conv1,0.8615701771933321,0.0005539594012432641,0.7910372206107348,0.0003951206405572509,0.9459789442090075,0.004403932673724222,0.39101877018882586,0.028712131437956173,0.8150256566197848,0.0032829451970631416
full_pink,pink,1,conv2,0.7812950320455853,0.03173563361024481,0.7273821038277553,0.0824742996536598,0.9821487685843966,0.011342444227262329,0.1968491971063552,0.0545582281067477,0.7671342124062074,0.02343011752287049
full_pink,pink,1,fc1,0.6889635915758493,0.054854222759808315,0.7966250446527795,0.057946059954841374,0.8198280827311505,0.018339446924048944,0.6174932920685533,0.025863997762640787,0.5652528611935548,0.053848683368509925
