method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,W_kron,W_G,W_A,log_kappa_kron
DP-SGD,7,4,0.7685821407880539,0.6628758304556832,0.9207,0.9432980775071597,0.18007144764957264,0.8380048086500576,fc2,10.67776985742544,0.5668924471397598,9.275896522280973,inf
DP-SGD,7,5,0.8067032648966863,0.8445365752458572,0.9098,0.995693195331761,0.17189169337606838,0.8445541598857977,conv1,2.0240715973733705,0.507183810328983,1.747577353117678,7.112241010801304
DP-SGD,7,5,0.8067032648966863,0.8445365752458572,0.9098,0.995693195331761,0.17189169337606838,0.8445541598857977,conv2,7.980734058933093,0.2555760022109988,7.728232433318544,12.268526719018876
DP-SGD,7,5,0.8067032648966863,0.8445365752458572,0.9098,0.995693195331761,0.17189169337606838,0.8445541598857977,fc1,113.29819456875117,3.455227656122502,31.48308809923855,inf
DP-SGD,7,5,0.8067032648966863,0.8445365752458572,0.9098,0.995693195331761,0.17189169337606838,0.8445541598857977,fc2,10.54882151448655,0.561959493155272,9.183159549653169,inf
Synthetic DP-KFC (Pink Noise),7,1,0.7965162923702827,0.5778492511218414,0.9228,0.7861127240333559,0.5905114850427351,0.43944761385488457,conv1,1.2312318560655857,0.8429718225498539,0.6861398140202493,5.852903091090978
Synthetic DP-KFC (Pink Noise),7,1,0.7965162923702827,0.5778492511218414,0.9228,0.7861127240333559,0.5905114850427351,0.43944761385488457,conv2,4.585184349558756,0.48303167700947913,4.105779783428957,13.340790455923443
Synthetic DP-KFC (Pink Noise),7,1,0.7965162923702827,0.5778492511218414,0.9228,0.7861127240333559,0.5905114850427351,0.43944761385488457,fc1,103.05296322566195,3.788630768348317,26.28209256704622,inf
Synthetic DP-KFC (Pink Noise),7,1,0.7965162923702827,0.5778492511218414,0.9228,0.7861127240333559,0.5905114850427351,0.43944761385488457,fc2,10.123786644285188,0.5559911018541799,8.834791585364586,inf
Synthetic DP-KFC (Pink Noise),7,2,0.5545517423341417,0.5364299416412017,0.9435,0.8385078418579571,0.238147702991453,0.7835829107679873,conv1,0.9584592963946581,0.554746953828443,0.683476644143516,4.867691247179653
Synthetic DP-KFC (Pink Noise),7,2,0.5545517423341417,0.5364299416412017,0.9435,0.8385078418579571,0.238147702991453,0.7835829107679873,conv2,4.181976308632226,0.3807961839519577,3.8919728454592786,11.94507389659649
Synthetic DP-KFC (Pink Noise),7,2,0.5545517423341417,0.5364299416412017,0.9435,0.8385078418579571,0.238147702991453,0.7835829107679873,fc1,81.42778240347761,3.6437142785134315,21.52901448879358,inf
Synthetic DP-KFC (Pink Noise),7,2,0.5545517423341417,0.5364299416412017,0.9435,0.8385078418579571,0.238147702991453,0.7835829107679873,fc2,8.312399219291285,0.5353952208943809,7.3129699927068,inf
Synthetic DP-KFC (Pink Noise),7,3,0.5593450569316872,0.5325366123516869,0.9502,0.8909029596825585,0.17810162927350429,0.8364262718420762,conv1,0.875835361802208,0.4559939593346127,0.6803712380929787,3.614736962864926
Synthetic DP-KFC (Pink Noise),7,3,0.5593450569316872,0.5325366123516869,0.9502,0.8909029596825585,0.17810162927350429,0.8364262718420762,conv2,4.283108145427461,0.39582888279544537,3.9654252077650614,12.48426321537398
Synthetic DP-KFC (Pink Noise),7,3,0.5593450569316872,0.5325366123516869,0.9502,0.8909029596825585,0.17810162927350429,0.8364262718420762,fc1,81.21899890843196,3.6848115007098032,21.250232376267654,inf
Synthetic DP-KFC (Pink Noise),7,3,0.5593450569316872,0.5325366123516869,0.9502,0.8909029596825585,0.17810162927350429,0.8364262718420762,fc2,7.543430647080875,0.5647907283630287,6.5497945635993915,52.75302876408643
Synthetic DP-KFC (Pink Noise),7,4,0.6188723357060016,0.5589915208245627,0.951,0.9432980775071597,0.15613314636752137,0.8564989207646786,conv1,0.8876813133444035,0.46248194586217606,0.6877013254164724,3.8499899927491157
