beta,seed,epoch,layer,probe_sample_count,d,effective_dimension,W,isotropy_score,whitened_dimension_fraction,top10_energy_share,directions_for_90pct
0.5,42,3,fc1,256,200832,110096.33366169235,0.5482011515181462,0.5482011515181462,0.5482011515181462,0.3101438174452616,0.6264838272785214
0.5,42,3,fc2,256,1290,927.334207385187,0.7188637266551837,0.7188637266551837,0.7188637266551837,0.19507555756671283,0.7418604651162791
0.5,42,4,conv1,256,160,38.9805010080495,0.2436281313003094,0.2436281313003094,0.2436281313003094,0.471408978284776,0.65
0.5,42,4,conv2,256,4640,4175.131296062784,0.8998127793238758,0.8998127793238758,0.8998127793238758,0.1567119199269041,0.8191810344827586
0.5,42,4,fc1,256,200832,107505.64158778253,0.5353013543050038,0.5353013543050038,0.5353013543050038,0.3214660154985736,0.6402316363926067
0.5,42,4,fc2,256,1290,1015.0502411649292,0.7868606520658366,0.7868606520658366,0.7868606520658366,0.18813228352909658,0.7403100775193798
0.5,42,5,conv1,256,160,52.639050261243646,0.3289940641327728,0.3289940641327728,0.3289940641327728,0.4169852057785089,0.7125
0.5,42,5,conv2,256,4640,4282.76082720242,0.9230087989660387,0.9230087989660387,0.9230087989660387,0.14444538719432476,0.8262931034482759
0.5,42,5,fc1,256,200832,94592.86912941195,0.4710049649926901,0.4710049649926901,0.4710049649926901,0.35673729172848095,0.604281190248566
0.5,42,5,fc2,256,1290,896.4810626659832,0.6949465602061885,0.6949465602061885,0.6949465602061885,0.20979819388046617,0.7232558139534884
0.75,42,1,conv1,256,160,120.33122256076524,0.7520701410047828,0.7520701410047828,0.7520701410047828,0.210439163991479,0.725
0.75,42,1,conv2,256,4640,3174.0707407157397,0.6840669699818405,0.6840669699818405,0.6840669699818405,0.21583566159160486,0.6351293103448276
0.75,42,1,fc1,256,200832,104744.06301218028,0.5215506642974241,0.5215506642974241,0.5215506642974241,0.29508506848167915,0.5134639898024219
0.75,42,1,fc2,256,1290,786.0052393032042,0.6093063870567474,0.6093063870567474,0.6093063870567474,0.23172900211505515,0.548062015503876
0.75,42,2,conv1,256,160,78.7560413210667,0.4922252582566669,0.4922252582566669,0.4922252582566669,0.3359277684452914,0.63125
0.75,42,2,conv2,256,4640,3264.710273964429,0.7036013521475062,0.7036013521475062,0.7036013521475062,0.2397239203162122,0.6993534482758621
0.75,42,2,fc1,256,200832,85746.07845452227,0.4269542625404431,0.4269542625404431,0.4269542625404431,0.37392295579496276,0.49698255258126195
0.75,42,2,fc2,256,1290,577.0180133521332,0.44730078554428926,0.44730078554428926,0.44730078554428926,0.2937553216728357,0.6093023255813953
0.75,42,3,conv1,256,160,64.02346086643102,0.40014663041519394,0.40014663041519394,0.40014663041519394,0.38554163552034104,0.625
0.75,42,3,conv2,256,4640,3604.976198414519,0.7769345255203705,0.7769345255203705,0.7769345255203705,0.1980283961620461,0.7196120689655172
0.75,42,3,fc1,256,200832,70771.36596587724,0.3523908837529738,0.3523908837529738,0.3523908837529738,0.4364092868738844,0.44003445666029317
0.75,42,3,fc2,256,1290,225.9909450675322,0.175186779122118,0.175186779122118,0.175186779122118,0.43456725012489356,0.5596899224806201
0.75,42,4,conv1,256,160,72.18219496139105,0.4511387185086941,0.4511387185086941,0.4511387185086941,0.37762705685745235,0.65
0.75,42,4,conv2,256,4640,3698.723129624904,0.7971386055226085,0.7971386055226085,0.7971386055226085,0.18606984685213843,0.7262931034482759
0.75,42,4,fc1,256,200832,65249.598548526934,0.3248964236203739,0.3248964236203739,0.3248964236203739,0.46101954482365953,0.41896709687699174
0.75,42,4,fc2,256,1290,193.11799702793988,0.14970387366506968,0.14970387366506968,0.14970387366506968,0.47878416962943077,0.5534883720930233
0.75,42,5,conv1,256,160,84.42404160000885,0.5276502600000553,0.5276502600000553,0.5276502600000553,0.33625185899125204,0.69375
0.75,42,5,conv2,256,4640,3695.3077986008634,0.7964025428019103,0.7964025428019103,0.7964025428019103,0.18368001161781056,0.722198275862069
0.75,42,5,fc1,256,200832,55041.78368193488,0.27406879223398106,0.27406879223398106,0.27406879223398106,0.5105553389451769,0.412060826959847
0.75,42,5,fc2,256,1290,80.12758712905088,0.06211440862717123,0.06211440862717123,0.06211440862717123,0.5419979319966536,0.5372093023255814
1.0,42,1,conv1,256,160,93.2950100255666,0.5830938126597912,0.5830938126597912,0.5830938126597912,0.27590843911112284,0.6
1.0,42,1,conv2,256,4640,2580.801718731561,0.5562072669680088,0.5562072669680088,0.5562072669680088,0.28238461321821834,0.55625
1.0,42,1,fc1,256,200832,89256.8220531263,0.4444352595857548,0.4444352595857548,0.4444352595857548,0.34848502678542326,0.4737243068833652
1.0,42,1,fc2,256,1290,798.8096745557518,0.6192323058571719,0.6192323058571719,0.6192323058571719,0.23096273274693097,0.5604651162790698
1.0,42,2,conv1,256,160,58.888824449182046,0.3680551528073878,0.3680551528073878,0.3680551528073878,0.41089146972268475,0.575
1.0,42,2,conv2,256,4640,2730.766429698531,0.5885272477798558,0.5885272477798558,0.5885272477798558,0.278125395545673,0.6075431034482759
1.0,42,2,fc1,256,200832,69205.24657457735,0.3445927271280341,0.3445927271280341,0.3445927271280341,0.43665562475416014,0.4028093132568515
