method,seed,epoch,layer,mean,median,p90,p99
M1_full_ghost,7,3,conv1,0.0456935316324234,0.0371760129928588,0.0910190343856811,0.1483686119318008
M1_full_ghost,7,3,conv2,0.2455363869667053,0.2363306283950805,0.3694558143615722,0.4796174466609955
M1_full_ghost,7,3,fc1,0.6147893667221069,0.6225054264068604,0.7394351959228516,0.8110872507095337
M1_full_ghost,7,3,fc2,0.0939640626311302,0.0901048555970192,0.1880019009113311,0.5455702543258667
M1_full_ghost,7,4,conv1,0.0469719730317592,0.0368294604122638,0.0927895233035087,0.1606509536504745
M1_full_ghost,7,4,conv2,0.2334354072809219,0.2232829183340072,0.342015653848648,0.4542889297008514
M1_full_ghost,7,4,fc1,0.6046243906021118,0.6190534830093384,0.7251880764961243,0.7891674637794495
M1_full_ghost,7,4,fc2,0.1141335815191268,0.0869764685630798,0.2964285910129547,0.5133673548698425
M1_full_ghost,7,5,conv1,0.0496709384024143,0.0409536361694335,0.0923072323203086,0.1483429223299026
M1_full_ghost,7,5,conv2,0.2792873680591583,0.2684422433376312,0.3932037055492401,0.4951381087303161
M1_full_ghost,7,5,fc1,0.5769825577735901,0.5820538997650146,0.6972036361694336,0.7665438652038574
M1_full_ghost,7,5,fc2,0.0919223651289939,0.0744744166731834,0.2160221636295318,0.3725201487541199
M2_a_ghost_p05,7,1,conv1,0.0003091319231316,0.0002111825160682,0.0005909320316277,0.0018695211037993
M2_a_ghost_p05,7,1,conv2,0.0156589951366186,0.0118064321577548,0.0320714749395847,0.0600182302296161
M2_a_ghost_p05,7,1,fc1,0.5241329669952393,0.5214192867279053,0.6177847981452942,0.7343314290046692
M2_a_ghost_p05,7,1,fc2,0.4598989188671112,0.4636188745498657,0.5610953569412231,0.6416340470314026
M2_a_ghost_p05,7,2,conv1,0.0066194231621921,0.0058318469673395,0.0115348529070615,0.0187850818037986
M2_a_ghost_p05,7,2,conv2,0.0774864628911018,0.0741831958293914,0.1058227643370628,0.1481830030679702
M2_a_ghost_p05,7,2,fc1,0.7803035378456116,0.7854074835777283,0.8228148221969604,0.8482831716537476
M2_a_ghost_p05,7,2,fc2,0.1355905830860138,0.1308938711881637,0.1801591664552688,0.2318028509616851
M2_a_ghost_p05,7,3,conv1,0.0099417641758918,0.008332472294569,0.0179974790662527,0.0277585610747337
M2_a_ghost_p05,7,3,conv2,0.0982745438814163,0.0952240973711013,0.1308652758598327,0.1684918105602264
M2_a_ghost_p05,7,3,fc1,0.7324435114860535,0.7540855407714844,0.8105836510658264,0.8415935635566711
M2_a_ghost_p05,7,3,fc2,0.1593401730060577,0.1320031583309173,0.2824512422084808,0.4719013273715973
M2_a_ghost_p05,7,4,conv1,0.0119661055505275,0.0096805375069379,0.0219862572848796,0.036069169640541
M2_a_ghost_p05,7,4,conv2,0.1114573329687118,0.1090961918234825,0.142377957701683,0.1720522493124008
