method,seed,epoch,layer,W_A,W_G,W_kron,log_kappa_kron
Full-Fisher Equil,42,1,fc2,,,,
Full-Fisher Equil,42,2,conv1,,,,
Full-Fisher Equil,42,2,conv2,,,,
Full-Fisher Equil,42,2,fc1,,,,
Full-Fisher Equil,42,2,fc2,,,,
Full-Fisher Equil,42,3,conv1,,,,
Full-Fisher Equil,42,3,conv2,,,,
Full-Fisher Equil,42,3,fc1,,,,
Full-Fisher Equil,42,3,fc2,,,,
Full-Fisher Equil,42,4,conv1,,,,
Full-Fisher Equil,42,4,conv2,,,,
Full-Fisher Equil,42,4,fc1,,,,
Full-Fisher Equil,42,4,fc2,,,,
Full-Fisher Equil,42,5,conv1,,,,
Full-Fisher Equil,42,5,conv2,,,,
Full-Fisher Equil,42,5,fc1,,,,
Full-Fisher Equil,42,5,fc2,,,,
KFAC-Diag,42,1,conv1,1.9017244756322558,0.7243046761725145,2.4573320794805253,7.95779524673735
KFAC-Diag,42,1,conv2,7.518023642751304,0.38055494198595285,8.053008320642666,15.638578406788262
KFAC-Diag,42,1,fc1,31.064088354607634,3.6690046044237556,118.18873217125197,inf
KFAC-Diag,42,1,fc2,9.584494784194419,0.539673963725885,10.904520539691912,inf
KFAC-Diag,42,2,conv1,1.901677525483716,0.30673991377201354,2.0126424110873367,6.327923687756625
KFAC-Diag,42,2,conv2,6.1740150946301675,0.24666979175114728,6.363856048806077,14.05304052445842
KFAC-Diag,42,2,fc1,26.33153096997852,3.8707488339831584,105.34029485167164,inf
KFAC-Diag,42,2,fc2,7.368603815738758,0.632460576986153,8.741579030181084,inf
KFAC-Diag,42,3,conv1,1.9016981261839807,0.3661020219018967,2.0579607664999227,6.51173744351173
KFAC-Diag,42,3,conv2,6.47694087065206,0.2994647353124822,6.767758122553632,13.173107641770518
KFAC-Diag,42,3,fc1,25.378411668511674,3.4651893711656143,91.59525759652702,inf
KFAC-Diag,42,3,fc2,8.447941963157742,0.6907474604953766,10.29061144642331,inf
